symbols,brain > body (default),brain >= body,brain non-zero
RERE,0,0,1
ATOH1,0,0,0
ATOX1,0,1,1
ATP1A1,0,1,1
ATP1A2,1,1,1
ATP1A3,1,1,1
ATP12A,0,1,1
ATP1A4,0,1,1
ATP1B1,1,1,1
ATP1B2,1,1,1
ATP1B3,0,1,1
FXYD2,0,1,1
ATP2A1,0,1,1
ATP2A2,0,1,1
ATP2A3,0,0,1
ATP2B1,1,1,1
ATP2B2,1,1,1
ATP2B3,1,1,1
ATP2B4,0,0,1
ATP4A,0,1,1
ATP4B,0,1,1
ATP5A1,0,0,1
ALDH7A1,1,1,1
ATP5B,0,0,1
ATP5C1,0,0,1
ATP5F1D,0,0,1
ATP5F1E,0,0,1
ATP5PB,0,0,1
ATP5G1,0,1,1
ATP5G2,0,0,1
ATP5MC3,0,0,1
ATP5ME,0,0,1
ATP5J,0,1,1
ATP6V1A,1,1,1
ATP6V1B1,0,0,1
ATP6V1B2,1,1,1
ATP6V0C,1,1,1
ATP6V1C1,1,1,1
ATP6V1E1,1,1,1
ATP6V0B,0,1,1
ATP6V1G2,1,1,1
ATP6V0A1,1,1,1
ATP6AP1,0,1,1
ATP7A,0,0,1
ATP5PO,0,0,1
ATP7B,0,1,1
ATR,0,0,1
ATRX,0,0,1
KIF1A,1,1,1
AUH,0,1,1
AUP1,0,0,1
AVP,0,1,1
AVPR1A,0,0,1
AVPR1B,0,0,0
AVPR2,0,0,1
AXL,0,0,1
AZGP1,0,1,1
AZU1,0,1,1
B2M,0,0,1
BAAT,0,1,1
BACH1,0,0,1
BAD,0,1,1
BAG1,0,0,1
BAGE,0,0,1
ADGRB1,1,1,1
ADGRB2,1,1,1
ADGRB3,1,1,1
BAK1,0,0,1
NKX3-2,0,0,0
BARD1,0,0,1
BAX,0,0,1
BBS1,0,1,1
BBS2,0,1,1
BBS4,0,0,1
BCAT1,0,1,1
BCAT2,0,0,1
BCHE,0,1,1
BCKDHA,0,0,1
BCKDHB,0,0,1
CCND1,0,0,1
BCL2,0,1,1
BCL2A1,0,0,1
BCL2L1,0,0,1
BCL2L2,0,1,1
BCL3,0,0,1
BCL6,0,0,1
BCL7A,1,1,1
BCL9,0,1,1
TNFRSF17,0,0,0
HCN2,1,1,1
OPN1SW,0,0,1
BCR,1,1,1
BCS1L,0,0,1
BDH1,1,1,1
BDKRB1,0,0,1
BDKRB2,0,0,1
BDNF,1,1,1
CFB,0,0,1
BFSP1,0,1,1
BGLAP,0,1,1
BGN,0,0,1
CEACAM1,0,0,1
BHMT,0,1,1
BICD1,0,1,1
BID,1,1,1
BIK,0,0,1
PRDM1,0,0,1
BLK,0,1,1
BLM,1,1,1
BLMH,0,0,1
CXCR5,0,0,0
BLVRA,0,0,1
BLVRB,0,0,1
BNC1,0,1,1
BMI1,0,1,1
BMP1,0,0,1
BMP2,0,0,1
BMP3,0,1,1
BMP4,0,0,1
BMP5,0,0,1
BMP6,0,0,1
BMP7,1,1,1
BMP8B,0,1,1
BMPR1A,0,0,1
BMPR1B,1,1,1
BMPR2,0,1,1
BMX,0,0,1
POLR3D,0,0,1
BNIP1,0,1,1
BNIP2,0,0,1
BNIP3,0,1,1
BNIP3L,0,1,1
BOK,0,1,1
DST,0,1,1
FOXL2,0,1,1
BPGM,0,1,1
BPHL,0,1,1
BPI,0,1,1
BRCA1,0,0,1
BRAF,0,1,1
BRCA2,0,0,1
BRDT,0,1,1
ZFP36L1,0,0,1
ZFP36L2,0,0,1
BRS3,0,0,0
BSG,0,1,1
BST1,0,0,1
BST2,0,0,1
BTC,0,0,1
BTD,0,0,1
KLF9,0,0,1
KLF5,0,0,1
BTF3,0,0,1
BTF3P11,0,0,0
BTG1,0,0,1
BTK,0,0,1
BTN1A1,0,1,1
BUB1,0,0,1
BUB1B,0,0,1
BYSL,0,0,1
TSPO,0,0,1
C1QBP,0,1,1
SERPING1,0,0,1
ERC2-IT1,0,0,0
C1QA,0,0,1
C1QB,0,0,1
C1QC,0,0,1
C1R,0,0,1
C1S,0,0,1
C2,0,0,1
C3,0,0,1
C3AR1,0,0,1
C4A,0,0,1
C4BPA,0,1,1
C4BPB,0,0,0
CAPN5,0,1,1
C5,0,0,1
C5AR1,0,0,1
C6,0,0,1
C7,0,0,1
C8A,0,0,0
C8B,0,0,0
C8G,0,1,1
OSGIN2,0,1,1
C9,0,0,0
MRPL49,0,0,1
ZNHIT2,0,0,1
MPPED2,1,1,1
MYRF,1,1,1
TMEM258,0,0,1
DAGLA,1,1,1
GAS8-AS1,0,1,1
FMNL1,0,1,1
LDLRAD4,1,1,1
PTTG1IP,0,0,1
C21orf2,0,1,1
TMEM50B,0,1,1
MPPED1,1,1,1
CA1,0,1,1
CA2,1,1,1
CA3,0,0,1
CA4,0,1,1
CA5A,0,1,1
CA6,0,0,0
CA7,1,1,1
CA8,1,1,1
CA9,0,1,1
CA11,1,1,1
